station,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
North Greenwich,17.28,17.76,18.1,17.73,15.7,24.17,22.4,24.27,26.377071,26.45,28.15
North Harrow,1.43,1.48,1.45,1.41,1.42,1.54,1.69,1.82,1.9378380000000002,1.97,1.92
North Wembley,1.37,1.4,1.47,1.4,1.57,1.64,1.65,1.66,1.836732,1.79,1.77
Northfields,4.06,4.06,3.92,3.83,3.79,3.98,4.1,4.21,4.080122,3.91,3.99
Northolt,3.41,3.52,3.74,4.05,4.28,4.42,4.61,4.99,5.026,5.16,5.18
Northwick Park,3.54,3.74,3.62,3.48,3.58,3.79,3.95,4.44,4.588128,4.65,4.52
Northwood,1.94,1.94,1.93,1.9,1.97,2.18,2.28,2.46,2.475743,2.49,3.04
Northwood Hills,1.28,1.38,1.32,1.25,1.29,1.41,1.48,1.63,1.720439,1.91,2.01
Notting Hill Gate,16.89,16.85,17.36,17.88,17.36,17.28,17.39,17.4,16.683962,17.18,16.34
Oakwood,2.61,2.84,2.91,2.9,2.74,2.41,2.79,2.94,2.842657,2.88,2.89
Old Street,17.93,19.24,19.61,20.05,21.04,21.88,21.86,23.28,25.14351,25.97,26.38
Osterley,2.06,2.06,2.06,2.03,2.15,2.19,2.32,2.46,2.350196,2.32,2.19
Oval,5.92,5.92,5.79,5.63,5.85,6.11,5.91,6.4,6.968322,6.45,7.36
Oxford Circus,72.05,72.91,72.72,70.12,77.09,80.55,85.25,98.51,92.355623,83.26,84.09
Paddington,37.24,40.7,42.02,44.0,46.48,46.33,49.71,49.28,49.637302000000005,49.48,48.82
Park Royal,1.59,1.59,1.63,1.68,1.58,1.58,1.64,1.98,2.019382,2.02,2.02
Parsons Green,5.08,5.13,5.45,5.69,5.94,6.19,6.45,6.8,6.822161,6.75,6.76
Perivale,1.97,2.09,2.03,2.04,2.08,2.16,2.24,2.34,2.405584,2.46,2.51
Piccadilly Circus,38.09,38.85,38.57,39.68,40.58,42.36,41.7,42.93,42.796831,41.29,40.82
Pimlico,8.02,8.41,8.39,8.24,8.79,9.91,10.21,11.42,11.264698,11.49,10.97
